Бизнес;К;Эт/эт;М;Рай;Улица;Цена;Реклама;Агент;ID;Комн;Общ;Жил;Кух;Описание
Жил;3;ч/д;дк;ц;Хлебная;33000;;;3980;см;50,00;40,00;9,00;центр.вода,кан-ция, место под гараж, газопеч отопл,на 2 входа, 1/5 дома,общ.двор.
Жил;2;дом;дк;при;Барашевка;23000;;;10981;см;62,00;32,00;6,00;все удоб,печн отопл, газ рядом, колод, рядом река, 27,5 сот, выгр яма, балки, Н-2,4м.
Жил;4;дом;к;кро;Переходной пер (до переезда);110000;;;11315;р;;65,00;15,00;все удоб, котел, колонка, котельная, 2см ком на 2эт, хор сост, 2-эт гараж, 2 сот, 1997 г.п.
Жил;2;ч/д;;мал;Пролетарский 1 пер;60000;;;11877;см;50,00;28,00;15,00;газопечн отопл, колодец у соседей, нужен ремонт, 25,6сот, дому 60лет, хор подъезд
Жил;3;ч/д;к;ц;Жуйко;150000;Нет;;12078;р;84,00;48,00;14,00;новый, все удоб, котел, колонка, 2сот
Жил;4;ч/д;к;мал;Западный 3 пер;50000;;;13310;см/р;56,00;;12,00;газ, колодец, центр канализ рядом, котел, нужен рем,без удобств.
Жил;4;дом;к;бог;Максютова;120000;Нет;;14919;р;202,00;89,00;9,00;"все удоб,2 кухни,цок эт,гараж,котел,выгреб яма,14 сот, среднее сост, ряд маг ""Березка"",дому 20 лет."
Жил;5;дом;;бог;Культурный пер;110000;;;17174;см/р;80,00;;9,00;1 сот, дер обл кирп, все коммун, покр обои, с/у .
Жил;3;ч/д;;смо;Саенко;45000;;;17274;см/р;52,00;35,00;10,00;дер/кирп, котел, вода, выгр яма, отд двор, 1/4 сот, погреб, с/у на ул, кух в корид
Жил;5;дом;к;кро;Олеся (Тургенева);100000;;;17343;р;160,00;100,00;10,00;7,5 сот, оштукатур, утепл полы,шпакл потол, газ, свет, гараж в доме, кирп забор, кважина, колонка
Жил;4;ч/д;к;мал;Вишневый 6 пер;51000;;;17630;см/р;62,00;53,00;6,30;отд вход, дом на 2 хоз, 3 сот, все уд, ванная в кухне, возм пристойки
Жил;0;уч;;мар;Байка;16000;;;18119;.;;;;5 сот, газ, свет рядом, путем отчуждения
Жил;2;ч/д;к;мал;Пролетарская;42000;;;18420;см;43,00;27,00;11,70;6 сот, отд двор, газ, колодец, лет кухня 2 этжа, погреб, котел, место под гараж, под склоном
Биз;0;цех;к;при;Тетеревка;40000;;;18459;.;200,00;;;10 сот, аренда, зверохозяйство
Жил;3;1/5;к;ц;Рыльского;70000;оля-а;оля;18496;расп;54,00;42,00;6,00;3 окна на прокуратуру, 1 окно во двор,можно под офис.
Жил;2;ч/д;дк;ц;р-н Сенного рынка;40000;;;19103;см/р;50,00;30,00;8,00;газ,свет,вода, с/у на ул,тел, 6 сот земли.
Жил;2;ч/д;;смо;Киевское шоссе;35000;;;19666;р;32,00;;;дер/кирп, газ,центр канализ,отд двор, 2,5 сот, дом на 4 хоз, во дворе киоск, авт отопл,все уд-ва.
Биз;3;1/9;п;ц;Л.Украинки;47000;;;19761;р;63,20;;;не угл, балк не заст и вых на дорогу, без рем,под бизнес.
Жил;3;ч/д;к;ц;Киевский 2 пер;50000;;;20223;р;46,00;31,00;4,00;кирп, 5 сот, отд двор, все уд-ва,жилое состояние,место под гараж.
Жил;6;дом;;ц;Магазинный пер;150000;гдв-а;гдв;20319;.;200,00;;;частично внутр. работы, металочереп, гараж, все коммуник рядом,проект на воду. 6 сот.
Жил;5;дом;к;кро;Наливайко;140000;Нет;;20431;р;191,00;;;8 сот, все удоб, част рем, нов дом, гараж, 1 с/у, 2004 г.п.
Биз;0;к/н;;при;Скоморохи;15000;;;20537;.;;;;12 сот, ферма, ангар кирпичный 10х20м, гаражс подвалом 6х8м, газ, свет, рядом речка, лес, кол
Жил;3;ч/д;к;бог;Целинный пер;60000;лена-а;;22124;р;60,00;47,00;12,00;еврорем, все уд-ва,двор отд, сарай, гараж, газ, вода, выгр яма, 1,5 сот
Жил;2;ч/д;дк;смо;Киевское шоссе;45000;;оля;22449;см;45,50;27,50;12,00;отд. двор, газ, колодец, сарай, лет кух.,10 сот,1/2 дома, возм. достр,гараж, жил.сост.
Жил;0;уч;;при;Заречаны;9000;;;22907;.;;;;10 сот, р-н новостр, под застройку.
Жил;0;уч;;бог;Огурцова;11000;;;22928;.;;;;10 сот, под застройку,газ, свет на уч, под лесом, угловой
Жил;4;дом;;при;Довжик;85000;;;22973;р;145,00;90,00;12,00;9 сот, все удоб, авт отопл, выгр яма, м/п окна, бр. дверь, гараж на 2 маш, нов дом,ракушняк/кирпич..
Жил;4;6/10;к;ц;Гоголевская;57000;;;22985;р;81,00;51,00;8,00;не угл, 2 балк заст, гор вода, косм рем, МП окна.
Жил;2;ч/д;;смо;Киевское шоссе;35000;Нет;;23043;р;;25,00;15,00;6 сот, ветхий дом, газ рядом, под бизнес
Жил;4;4/9;к;ц;Б.Бердичевская;65000;Нет;;23194;р;74,00;46,00;7,00;угл, лодж и балк заст, с/у разд, без ремонта
Жил;3;дом;дк;при;Кодня;7000;;;23278;см/р;52,00;;;газ рядом, колодец, печка, 60 сот, гараж, жил сост.
Жил;3;ч/д;;смо;Саенко;45000;Нет;;23512;см/р;60,00;;6,00;дому 27 лет,дер/кирп,двор общ на 2,газ, вода,выгр яма,гараж,погреб, сарай,котел,лет кух, 6,5 сот
Жил;3;дом;;пол;Селецкая;75000;;;23741;.;150,00;;20,00;Новострой,пиноблок/сайдинг,с/у совм,кухня-студио,ремонт,центр.кан-ция,4,7 сот земли.
Жил;1;ч/д;дк;ц;Московская;26000;Нет;;23965;.;25,00;13,00;7,00;отд двор, газ, вода, выгр яма, веранда, возм пристр, 1/7 дома, без рем,под бизнес,склад.
Жил;2;2/9;к;ц;Старый Бульвар;70000;;;24297;р;50,00;30,00;7,50;угл, балк заст, пласт окна, нов стол и сантех. ламинат
Жил;0;уч;;смо;Коростенская;15000;Нет;;24495;.;;;;10 сот, 3-я линия, газ рядом,20*50м.
