Бизнес;К;Эт/эт;М;Рай;Улица;Цена;Реклама;Агент;ID;Комн;Общ;Жил;Кух;Описание
Жил;4;дом;к;при;Пряжев (Лесная);130000;Нет;;7179;р;200,00;150,00;16,00;13,2x12,62, недостр без внут раб, прибалт проект, мансарда-17м, электр, газ, кап забор, 14сот
Жил;5;дом;к;мал;Западная;210000;Нет;;7192;р;356,00;170,00;18,00;2003г п, все удобства, евростандарт, 2 гаража, 7сот
Жил;4;6/9;к;ц;Шевченко;70000;оля;;9112;р;90,20;63,00;7,00;н/у,2 лодж заст, балк не заст, с/у разд, плитка, жил.сост,м/п окна.
Жил;3;дом;;ц;Закамянская;120000;Нет;;9188;р;;61,00;10,00;ракушняк обл вагонкой, все удоб, 12 сот, новый, с/у совм, ком 24/25/12м кв,гараж,времянка.
Жил;3;ч/д;дк;ц;Мануильского / Котовского;67000;;;9957;см/р;60,00;43,00;8,50;дер обл кирп,  все удоб, с/у совм, центр канализ, 3сот, отд двор, место под гараж, жил сост,
Жил;3;9/9;п;па;Тутковского про;58000;оля-а;оля;10255;р;68,00;40,00;8,00;н/e, б/л/з, еврорем, автон отопл,нов столярка, кафель, колонка, котел,возможен обмен на ч/с.
Жил;5;1/9;п;па;Тутковского про;75000;оля;;10403;р;103,00;67,00;9,00;н/у, л/з 5кв.м с кладовкой, подвал, бойлер, счётчики, хорошее сост, возм пристр балк,квадр.холл.
Биз;0;цех;;ц;Котовского / Восточная;900000;Нет;юра;13805;.;2293,00;;;цех з-да Продтовары, тех площадь 2149,8 кв м, все коммун, 0,8 га в аренде
Жил;4;дом;к;при;Довжик (Локтева);90000;Нет;;14694;р;90,00;45,00;8,50;колодец, котел,  гараж, лет кух, погреб, сарай, 7x9, асф двор, баня, 17сот, стар дом
Жил;4;дом;к;бог;Максютова;100000;Нет;;14919;р;202,00;89,00;9,00;"все удоб,2 кухни,цок эт,гараж,котел,выгреб яма,14 сот, среднее сост, ряд маг ""Березка"""
Жил;4;дом;к;при;Пряжев (Зеленая);56000;оля-а;;14987;.;280,00;;; газ, свет подв,  25 сот, столярка, рядом озеро, баня, хорошее состояние,или обмен на квартиру.
Биз;2;под офис;к;ц;Б.Бердичевская;72000;оля;оля;15031;р;51,00;29,00;7,00;не угл, лодж заст, с/у разд, жил сост, 3окна на ул
Жил;0;уч;;при;Ивановка;23000;Нет;;15048;.;;;;17сот прив.земли, ветхий дом, в центре села около трассы, газ, свет
Жил;5;дом;к;мал;Островского 2 пер;150000;Нет;;15692;см/р;169,00;80,50;17,00;частич рем, 2 ком без косметики, котёл, гараж, 5 сот, новый дом, окна пластик, металочереп, балкон
Биз;0;склад;;мар;Фруктовая;20000;юра;юра;16129;.;200,00;;;каменное, дерев пол, 6 сот, Н=3м.
Жил;5;дом;;бог;Культурный пер;110000;;;17174;см/р;80,00;;9,00;1 сот, дер обл кирп, все коммун, покр обои, с/у .
Жил;4;ч/д;к;мал;Вишневый 6 пер;54000;оля;;17630;см/р;62,00;53,00;6,30;отд вход, дом на 2 хоз, 3 сот, все уд, ванная в кухне, возм пристойки
Жил;3;9/9;п;бог;Клосовского;45000;;;18404;р;68,00;;;угл, балк и лодж заст, с/у разд, сч-к воды, коридор, хор сост
Жил;2;ч/д;к;мал;Пролетарская;48000;бвс-а;;18420;см;43,00;27,00;11,70;6 сот, отд двор, газ, колодец, лет кухня 2 этжа, погреб, котел, место под гараж, под склоном
Жил;2;1/5;п;пол;Космонавтов;40500;оля;;18431;р;52,60;33,00;5,30;не угл, колонка, 2 балк заст, 3 подвала, с/у разд, хор сост
Жил;3;дом;к;при;Ивановка;85000;люба;;18442;р;101,00;60,00;7,00;5 км от Житомира,2006г.п,2 спал.по 15кв.м,зал-30кв.м,прихожая 28кв.м,все уд-ва,ремонт,13 сот.
Жил;3;1/5;к;ц;Рыльского;70000;оля-а;оля;18496;расп;54,00;42,00;6,00;под офис, 3 окна на прокуратуру, 1 окно во двор,можно под офис.
Жил;0;дача;к;при;"Барашевский массив ""Барвинок""";5500;тамар-а;тамар;18849;.;50,00;30,00;6,00;4,5сот,недостр,финский,дерев,накр коробка,без вн робот, хор високий фундамент,газ и свет рядом
Биз;0;к/н;к;бог;Офицерская;105000;юра-а;;19030;.;306,00;;;под любой бизнес проект,цокольный этаж, все коммун,
Биз;0;к/н;;пол;Королёва;1530000;Нет;;19093;.;6800,00;;;бывшие бытовки
Жил;2;ч/д;дк;ц;р-н Сенного рынка;45000;;;19103;см/р;50,00;30,00;8,00;газ,свет,вода, с/у на ул,тел, 6 сот земли.
Жил;3;дом;к;при;Ивановка;75000;;;19492;р;120,00;100,00;10,00;все удоб, 15 сот, сад, времянка, место под гараж
Биз;0;к/н;к;при;Свитын;100000;юра;юра;19603;.;1500,00;;;1,5 га, все коммуник рядом, 10м висота, железобетонний
Биз;0;к/н;;пол;Королёва;1400000;Нет;;19734;.;2600,00;;;2 помещ по 1300кв м(цех и склад) и по 1,3га, можно част, 2 ж/д ветки, кран-балка,рядом окруж дорога
Биз;3;1/9;п;ц;Л.Украинки;47000;;;19761;р;63,20;;;не угл, балк не заст и вых на дорогу, без рем,под бизнес.
Жил;0;уч;;при;Ивановка;8000;Нет;0000;20165;.;;;;11 сот, газ-100м, свет 50м, под лесом, в конце Давыдовского поворота
Жил;6;дом;;ц;Магазинный пер;100000;гдв-а;гдв;20319;.;200,00;;;частично внутр. работы, металочереп, гараж, все коммуник рядом,проект на воду. 6 сот.
Жил;5;дом;к;кро;Наливайко;120000;Нет;;20431;р;191,00;;;8 сот, все удоб, част рем, нов дом, гараж, 1 с/у
Жил;4;дом;к;при;Калиновка;57000;юра;юра;20665;см/р;104,00;;14,00;50 сот, колодец, газ во дворе, гараж, лет кух, подвал
Жил;4;4/9;к;бог;Максютова;60000;;;20849;р;80,00;60,00;9,00;хор.сост,бр.дв,б/л/з,бойлер,тел.
Биз;1;под офис;к;ц;Довженко;30000;;;21054;.;29,70;19,70;;угл, нов стол, ремонт, 2 окна во двор.
Биз;0;к/н;;бум;Коммерческая;260000;Нет;;21610;.;900,00;;;h=6м, газ, вода подв, ж/д ветка - 20м
Жил;7;дом;к;ц;Попова пер;650000;;;21703;.;450,00;;;8 сот, все удоб, 3 с/у, камин зал, домик для гостей с удоб
Жил;3;под офис;п;бог;Мира просп;55000;Нет;;21943;р;70,00;49,00;9,00;не угл, балк заст. погреб. 3 окна на дорогу
Жил;3;ч/д;к;бог;Целинный пер;55000;Нет;;22124;р;60,00;47,00;12,00;еврорем, все уд-ва,двор отд, сарай, гараж, газ, вода, выгр яма, 1,5 сот
Жил;0;уч;;при;Ивановка;15000;;;22178;.;;;;15 сот рядом еще 15 сот, газ, свет рядом, ближе к лесу, Давыдовский поворот
Жил;0;уч;;при;Кодня;18900;;;22273;.;;;;центр,уч. под застрой, 51 сот земли,живоп.место,на берегу реки,вид на лес,хор.асф.подъезд,ветх.дом.
Жил;2;ч/д;дк;смо;Киевское шоссе;50000;;оля;22449;см;45,50;27,50;12,00;отд. двор, газ, колодец, сарай, лет кух.,10 сот,1/2 дома, возм. достр,гараж, жил.сост.
Жил;0;пай;;при;Березина;8000;Нет;;22607;.;;;;2,9 га, ОСГ, 1 км от трассы, 400м от леса
Жил;0;уч;;бог;Огурцова;15000;;;22928;.;;;;10 сот, газ, свет на уч, под лесом, угловой
Жил;4;дом;к;при;Довжик;90000;Нет;;22973;р;150,00;90,00;12,00;9 сот, все удоб, авт отопл, выгр яма, пласт окна, брон дверь, гараж на 2 маш, нов дом,шифер.
Жил;4;6/10;к;ц;Гоголевская;65000;леся-а;;22985;р;81,00;51,00;8,00;не угл, 2 балк заст, гор вода, косм рем, МП окна.
Жил;2;дом;;бог;Красноармейская;105000;бвс;;23210;см;130,00;45,00;12,00;все удоб., еврорем, 10 сот, погреб, 2-й этаж в стадии рем, пеноблок
Жил;3;ч/д;дк;ц;Мануильского / Б.Тена;48000;;;23419;р;53,00;37,00;11,00;отд двор,все удоб,центр канализ,гараж,сарай, жил сост, 2 ком и кух - нов пристр,1/3дома, 2 сот земли
Жил;3;ч/д;к;ц;Бердичевский 1 пер;70000;Нет;;23506;.;93,00;;13,00;двор отд в общ,дом нов, все удоб, с/у совм, место под гараж, можно под офис
Жил;5;дом;;бог;Спортивный пер;160000;Нет;;23513;р;310,00;;14,00;пеноблок, без космет, все удоб, 2 с/у, котел, возм пристр, пл окна, черепица, гараж, 12 сот
Жил;3;дом;;пол;Селецкая;90000;бвс-а;;23741;.;150,00;;20,00;Новострой,пиноблок/сайдинг,с/у совм,кухня-студио,ремонт,центр.кан-ция,4,7 сот земли.
Жил;0;дом;к;ц;Хлебная;115000;;;23742;.;190,00;;32,00;без внутр.работ,ком-ции подведены,5 комнат,2,5 сот земли,с 2-х сторон подъезд,черновой потолок.
Жил;1;1/5;к;ц;Черняховского;29500;;;23898;.;39,00;17,00;6,70;жил.сост,тел,колонка,б/з 9 кв.м.,возм.под бизнес.
Жил;4;дом;к;кро;Наливайко;80000;Нет;;24016;р;;60,00;;газ, колодец, , сарай, гараж, лет кух, котел, без рем, 20 сот
