Бизнес;К;Эт/эт;М;Рай;Улица;Цена;Реклама;Агент;ID;Комн;Общ;Жил;Кух;Описание
Жил;4;ч/д;дк;ц;Хлебная;38000;;;3980;см;50,00;40,00;7,00;вода, место под гараж, газопеч отопл, ц. канализ, на 2 входа, 1/5 дома.
Жил;2;3/3;к;бог;Офицерская;23500;;;4592;комун;42,00;25,00;8,00;2ком в 4 ком.коммун квартире, угл, отдел душевая и кухня, общ. с/у, хор сост.
Жил;2;ч/д;;мал;Пролетарская;60000;;;11877;см;50,00;28,00;15,00;газопечн отопл, колодец у соседей, рем, 25,6сот, дому 60лет, хор подъезд
Жил;4;дом;к;бог;Максютова;100000;Нет;;14919;р;202,00;89,00;9,00;"все удоб,2 кухни,цок эт,гараж,котел,выгреб яма,14 сот, среднее сост, ряд маг ""Березка"""
Жил;4;дом;к;при;Пряжев;60000;оля-а;оля;14987;.;280,00;;; газ, свет подв,  25 сот, столярка, рядом озеро, баня, хорошее состояние,или обмен на квартиру.
Биз;2;под офис;к;ц;Б.Бердичевская;60000;;оля;15031;р;51,00;29,00;7,00;не угл, лодж заст, с/у разд, жил сост, 3окна на ул
Жил;3;9/9;п;бог;Клосовского;43000;;;18404;р;68,00;;;угл, балк и лодж заст, с/у разд, сч-к воды, коридор, хор сост
Биз;0;к/н;к;бог;Офицерская;105000;юра-а;;19030;.;306,00;;;под любой бизнес проект,цокольный этаж, все коммун,хор.ремонт.
Жил;2;ч/д;дк;ц;р-н Сенного рынка;42000;;;19103;см/р;50,00;30,00;8,00;газ,свет,вода, с/у на ул,тел, 6 сот земли.
Жил;1;2/2;к;ц;Пушкинская;15000;;;20298;.;33,50;21,00;12,00;угл, без балк,низкие потолки, вода и с/у на улице, г/п отоп, место под гараж.
Жил;6;дом;;ц;Магазинный пер;150000;гдв-а;гдв;20319;.;200,00;;;частично внутр. работы, металочереп, гараж, все коммуник рядом,проект на воду. 6 сот.
Жил;1;ч/д;дк;ц;Мануильского;16000;;;21428;.;48,00;18,50;5,00;общ двор, газ и вода в доме, 0,7 сот непр.земл, дом на 7 хоз,газопечное отопл,нужен ремонт.
Жил;2;1/5;п;ц;Котовского-Московская;43000;;;21590;см/р;46,00;44,00;6,00;не угл, колонка, балк заст, окна на ул, можно под офис, магазин.
Жил;0;уч;;при;Тетеревка;20000;Нет;;21675;.;;;;10 сот, стор реки, р-н заправки
Жил;3;дом;;кро;Щорса;25000;;;22861;см/р;55,00;;;дер/кирп, без удоб, 10 сот, кап гараж, за переездом
Жил;0;уч;;при;Заречаны;9000;;;22907;.;;;;10 сот, р-н новостр, под застройку.
Жил;4;6/10;к;ц;Гоголевская;60000;;;22985;р;81,00;51,00;8,00;не угл, 2 балк заст, гор вода, косм рем, МП окна.
Биз;0;к/н;к;пол;Селецкая;56000;;;23118;.;46,00;;;Кафе-магазин,хор рем, h=4, холодильники, бар стойка, все коммуник
Биз;0;к/н;к;ц;Шелушкова;500000;;;23530;.;540,00;;;действ бар, все коммуник, не угл
Жил;2;1/2;к;бог;Максютова;35000;;;23540;см;42,00;30,00;6,50;не угл, авт отопл, с/у совм,колонка, брон дверь, счет, возм пристр,жилое состояние.
Биз;0;к/н;к;мал;Каховского;85000;;юра;23571;.;180,00;;;бывш магазин, готов докум под кафе, нужен рем, зал-97м.кв. 6 сот земли.
Жил;2;ч/д;к;ц;Мануильского;20000;;юра;24128;.;22,00;15,00;4,00;все удоб, общ двор, жилое сост.,без земли.
Жил;5;дом;;бог;Мира 1 пер;45000;;;24368;.;130,00;;;пар отопл, гараж, сарай, без удоб, газ, колодец, 6 сот приват,можно на 2 семьи
Жил;0;дом;к;при;Пряжев;70000;;;24891;р;400,00;350,00;16,00;накр коробка без вн работ, газ, колодец, 15 сот
