Бизнес;К;Эт/эт;М;Рай;Улица;Цена;Реклама;Агент;ID;Комн;Общ;Жил;Кух;Описание
Жил;3;ч/д;дк;ц;Хлебная;33000;;;3980;см;50,00;40,00;9,00;центр.вода,кан-ция, место под гараж, газопеч отопл,на 2 входа, 1/5 дома,общ.двор.
Жил;4;дом;к;кро;Переходной пер (до переезда);110000;;;11315;р;;65,00;15,00;все удоб, котел, колонка, котельная, 2см ком на 2эт, хор сост, 2-эт гараж, 2 сот, 1997 г.п.
Жил;4;дом;к;бог;Максютова;120000;Нет;;14919;р;202,00;89,00;9,00;"все удоб,2 кухни,цок эт,гараж,котел,выгреб яма,14 сот, среднее сост, ряд маг ""Березка"",дому 20 лет."
Жил;5;дом;;бог;Культурный пер;110000;;;17174;см/р;80,00;;9,00;1 сот, дер обл кирп, все коммун, покр обои, с/у .
Жил;5;дом;к;кро;Олеся (Тургенева);100000;;;17343;р;160,00;100,00;10,00;7,5 сот, оштукатур, утепл полы,шпакл потол, газ, свет, гараж в доме, кирп забор, кважина, колонка
Жил;4;ч/д;к;мал;Вишневый 6 пер;51000;;;17630;см/р;62,00;53,00;6,30;отд вход, дом на 2 хоз, 3 сот, все уд, ванная в кухне, возм пристойки
Жил;0;уч;;мар;Байка;16000;;;18119;.;;;;5 сот, газ, свет рядом, путем отчуждения
Жил;3;1/5;к;ц;Рыльского;70000;оля-а;оля;18496;расп;54,00;42,00;6,00;3 окна на прокуратуру, 1 окно во двор,можно под офис.
Биз;3;1/9;п;ц;Л.Украинки;47000;;;19761;р;63,20;;;не угл, балк не заст и вых на дорогу, без рем,под бизнес.
Жил;6;дом;;ц;Магазинный пер;150000;гдв-а;гдв;20319;.;200,00;;;частично внутр. работы, металочереп, гараж, все коммуник рядом,проект на воду. 6 сот.
Жил;5;дом;к;кро;Наливайко;140000;Нет;;20431;р;191,00;;;8 сот, все удоб, част рем, нов дом, гараж, 1 с/у, 2004 г.п.
Биз;0;к/н;;при;Скоморохи;15000;;;20537;.;;;;12 сот, ферма, ангар кирпичный 10х20м, гаражс подвалом 6х8м, газ, свет, рядом речка, лес, кол
Жил;3;ч/д;к;бог;Целинный пер;60000;лена-а;;22124;р;60,00;47,00;12,00;еврорем, все уд-ва,двор отд, сарай, гараж, газ, вода, выгр яма, 1,5 сот
Жил;0;уч;;при;Заречаны;9000;;;22907;.;;;;10 сот, р-н новостр, под застройку.
Жил;0;уч;;бог;Огурцова;11000;;;22928;.;;;;10 сот, под застройку,газ, свет на уч, под лесом, угловой
Жил;4;дом;;при;Довжик;85000;;;22973;р;145,00;90,00;12,00;9 сот, все удоб, авт отопл, выгр яма, м/п окна, бр. дверь, гараж на 2 маш, нов дом,ракушняк/кирпич..
Жил;4;6/10;к;ц;Гоголевская;57000;;;22985;р;81,00;51,00;8,00;не угл, 2 балк заст, гор вода, косм рем, МП окна.
Жил;4;4/9;к;ц;Б.Бердичевская;65000;Нет;;23194;р;74,00;46,00;7,00;угл, лодж и балк заст, с/у разд, без ремонта
Жил;3;дом;;пол;Селецкая;75000;;;23741;.;150,00;;20,00;Новострой,пиноблок/сайдинг,с/у совм,кухня-студио,ремонт,центр.кан-ция,4,7 сот земли.
Жил;2;2/9;к;ц;Старый Бульвар;70000;юля-а;;24297;р;50,00;30,00;7,50;угл, балк заст, пласт окна, нов стол и сантех. ламинат
Жил;4;дом;дк;мал;Джерельный пер;125000;;;24772;р;195,00;;16,00;газ, слив, 12 сот земли,с внутр.работами,лесница, если 6 сот - 110000 у.е.
Биз;2;под офис;к;ц;Шелушкова;50000;Нет;юра;24947;см;42,60;27,10;5,50;угл, 1 окно в торец, 2 во двор, рядом стоянка
Жил;4;дом;;мал;Чкалова;85000;;;25597;.;150,00;110,00;20,00;Новый,ракушняк/кирпич, 2-й этаж-готов, 1-й - без вн.отделки,5 сот, газ вода канализация.
Жил;3;2/2;к;ц;Победы;47000;алла-а;;25668;см/р;65,20;43,00;8,20;н/у, с/у разд,жилое сотояние, кв холл, 3 окна на дорогу, можно под офис,двор на кодовый замок.
