Бизнес;К;Эт/эт;М;Рай;Улица;Цена;Реклама;Агент;ID;Комн;Общ;Жил;Кух;Описание
Жил;3;ч/д;дк;ц;Хлебная;32000;;;3980;см;50,00;40,00;9,00;центр.вода,кан-ция, место под гараж, газопеч отопл,на 2 входа, 1/5 дома,общ.двор.
Жил;4;3/3;к;бог;Офицерская;49000;;;4592;;;;;хор.жилое сост.
Жил;4;4/9;к;пол;Витрука;70000;оля-а;оля;5168;р;95,00;50,00;10,50;б/л/з,86г.п,ремонт,автономное  отопл,м/п окна,нов.стол,сант.
Биз;2;к/н;к;ц;Киевская;80000;;;11869;см;40,00;;;под офис,магазин,раб.проект готов,согласовывается пристройка до 60 кв.м.
Жил;4;дом;к;при;Пряжев;60000;;оля;14987;.;180,00;;; газ, свет подв,  25 сот, столярка, рядом озеро, баня, хорошее состояние,или обмен на квартиру.
Жил;2;ч/д;к;ц;Шевченко;50000;;;15378;см;;45,00;6,30;дер/кирп, газ, котел, вода ряд, Н=3,2м, без рем, 5,4сот, можно под офис, общ двор на 3хоз
Жил;4;ч/д;к;мал;Вишневый 6 пер;51000;;;17630;см/р;62,00;53,00;6,30;отд вход, дом на 2 хоз, 3 сот, все уд, ванная в кухне, возм пристойки
Биз;0;уч;;смо;Киевское шоссе;20000;гдв-а;гдв;17646;.;;;;6 сот, дерев ветхий дом, все коммуникации есть
Жил;2;ч/д;к;мал;Пролетарская;42000;;;18420;см;43,00;27,00;11,70;6 сот, отд двор, газ, колодец, лет кухня 2 этжа, погреб, котел, место под гараж, под склоном
Жил;1;ч/д;;смо;Киевское шоссе;35000;;;19666;р;32,00;14,00;9,00;дер/кирп, газ,общ. двор, 2,5 сот непр.земли, дом на 4 хоз, во дворе киоск, авт отопл,все уд-ва.
Жил;3;ч/д;к;ц;Киевский 2 пер;40000;;;20223;р;46,00;31,00;4,00;кирп, 5 сот, отд двор, все уд-ва,жилое состояние,место под гараж.
Жил;1;2/2;к;ц;Пушкинская;13000;;;20298;.;33,50;21,00;12,00;угл, без балк,низкие потолки, вода и с/у на улице, г/п отоп,без ремонта, место под гараж.
Жил;6;дом;;ц;Магазинный пер;175000;гдв-а;гдв;20319;.;200,00;;;частично внутр. работы, металочереп, гараж, все коммуник рядом,проект на воду. 6 сот.
Жил;1;4/5;к;ц;Соборная площ;15000;Нет;;20724;комун;;12,20;8,00;1 ком в 2-х ком кв, балк не заст, ремонт
Жил;4;9/9;к;пол;Кибальчича;57000;Нет;;21177;р;80,00;50,00;8,00;угл, колонка, б/л/з, тех этаж, жил сост.
Жил;2;2/2;к;ц;Киевская;80000;;;21859;р;80,00;;;"не угл., колонка, балк не заст, еврорем, дер стеклопак, 2 уровня, h=3,8м, возле маг ""Зброя"""
Жил;3;ч/д;к;бог;Целинный пер;60000;;;22124;р;60,00;47,00;12,00;еврорем, все уд-ва,двор отд, сарай, гараж, газ, вода, выгр яма, 1,5 сот
Жил;1;ч/д;к;мал;Кармелюка;13000;Нет;;22146;.;25,00;12,30;5,60;общ двор, возм отд, газопечн отопл, вода в доме, туал на ул, выгр яма, сарай, 76г.п
Жил;4;4/5;к;ц;Черновола;200000;;;22371;р;106,00;80,00;14,00;2 балк,лодж заст,утепл,дуб стол,встроен кух,паркет,двойн брон дверь,сигнализ,кондиц, быт техн,мебель
Жил;0;уч;;бог;Огурцова;11000;;;22928;.;;;;10 сот, под застройку,газ, свет на уч, под лесом, угловой
Жил;2;ч/д;;смо;Киевское шоссе;40000;Нет;;23043;р;;25,00;15,00;6 сот, ветхий дом, газ рядом, под бизнес
Жил;4;4/9;к;ц;Б.Бердичевская;65000;алла-а;;23194;р;74,00;46,00;7,00;угл, лодж и балк заст, с/у разд, без ремонта
Жил;4;7/16;;ц;Мануильского;62000;;;23438;р;90,00;52,00;11,00;монолит, бойлер, новая сантехника,квад.холл,лоджия с кухни,балкон,хорошее состояние,домофон.
Жил;3;ч/д;к;ц;Бердичевский 1 пер;60000;Нет;;23506;.;93,00;;13,00;двор отд в общ,дом нов, все удоб, с/у совм, место под гараж, можно под офис,земли нет.
Жил;2;1/2;к;бог;Максютова;36000;надя-а;;23540;см;42,00;30,00;6,50;не угл, авт отопл, с/у совм,колонка, брон дверь, счет, возм пристр,жилое состояние.
Жил;1;ч/д;дк;ц;Московская;26000;Нет;;23965;.;25,00;13,00;7,00;отд двор, газ, вода, выгр яма, веранда, возм пристр, 1/7 дома, без рем,под бизнес,склад.
Жил;2;6/9;к;ц;Л.Украинки-Победы;60000;;;24865;р;55,60;38,00;10,00;угл, бойлер, лодж заст, пл окна, нов сантех и стол, жил сост
Биз;2;под офис;к;ц;Шелушкова;50000;Нет;юра;24947;см;42,60;27,10;5,50;угл, 1 окно в торец, 2 во двор, рядом стоянка
Жил;2;ч/д;дк;ц;Московская / Домбровская;35000;Нет;;24982;см;43,00;25,70;7,00;1 сот, газ, вода, 2 погреба. лет душ, жил сост. отд двор, вольер для собак,выгр.яма.
Жил;1;ч/д;;ц;Щорса;40000;;;25056;.;24,00;16,00;7,00;дер/кирп, газ, вода-проект, туал на ул, жилое состояние, 3 сот земли,отд.двор,возм.пристройки.
Жил;2;5/5;п;ц;Львовская;43000;;;25204;см;47,00;31,00;6,00;не угл, колонка, балк заст, рем, нов сантех и стол, встр кух
Жил;3;ч/д;д;ц;Якира;55000;;;25583;.;70,00;;14,00;1/2 дома, отд двор, газ, вода. туал на ул, лет кух,13 сот прив.земли.
Жил;3;2/2;к;ц;Победы;47000;алла-а;;25668;см/р;65,20;43,00;8,20;н/у, с/у разд,жилое сотояние, кв холл, 3 окна на дорогу, можно под офис,двор на кодовый замок.
Жил;2;ч/д;д;мал;Героев Пожарных;41000;Нет;;25690;см;39,30;23,20;11,10;5,4 сот, газопеч отопл, колодец, укрепл фунд, косм рем, 47г.п., отд. двор,кан-ция.
Жил;0;дом;к;бог;Осокоровый пер;80000;;;25707;р;308,00;200,00;;10 сот+6 в аренде, без вн раб, перегор, пл окна, гар в цок, ж/б забор, металочер, 2 с/у все коммуник
Жил;2;ч/д;к;ц;Красного креста;37000;;;26493;см;39,00;27,00;8,00;отд двор, 2 сот, все удоб, 1/5 дома. жил сост, сарай
