Бизнес;К;Эт/эт;М;Рай;Улица;Цена;Реклама;Агент;ID;Комн;Общ;Жил;Кух;Описание
Жил;4;ч/д;дк;ц;Хлебная;38000;;;3980;см;50,00;40,00;7,00;вода, место под гараж, газопеч отопл, ц. канализ, на 2 входа, 1/5 дома.
Жил;2;дом;дк;при;Барашевка;23000;;;10981;см;62,00;32,00;6,00;все удоб,печн отопл, газ рядом, колод, рядом река, 27,5 сот, выгр яма, балки, Н-2,4м.
Жил;4;дом;к;кро;Переходной пер (до переезда);110000;;;11315;р;;65,00;15,00;все удоб, котел, колонка, котельная, 2см ком на 2эт, хор сост, 2-эт гараж, 2 сот, 1997 г.п.
Жил;2;ч/д;;мал;Пролетарский 1 пер;60000;;;11877;см;50,00;28,00;15,00;газопечн отопл, колодец у соседей, нужен ремонт, 25,6сот, дому 60лет, хор подъезд
Жил;3;ч/д;к;ц;Жуйко;150000;Нет;;12078;р;84,00;48,00;14,00;новый, все удоб, котел, колонка, 2сот
Жил;4;ч/д;к;мал;Западный 3 пер;50000;;;13310;см/р;56,00;;12,00;газ, колодец, центр канализ рядом, котел, нужен рем,без удобств.
Жил;4;дом;к;бог;Максютова;120000;Нет;;14919;р;202,00;89,00;9,00;"все удоб,2 кухни,цок эт,гараж,котел,выгреб яма,14 сот, среднее сост, ряд маг ""Березка"",дому 20 лет."
Жил;5;дом;;бог;Культурный пер;110000;;;17174;см/р;80,00;;9,00;1 сот, дер обл кирп, все коммун, покр обои, с/у .
Жил;3;ч/д;;смо;Саенко;45000;;;17274;см/р;52,00;35,00;10,00;дер/кирп, котел, вода, выгр яма, отд двор, 1/4 сот, погреб, с/у на ул, кух в корид
Жил;5;дом;к;кро;Олеся (Тургенева);100000;;;17343;р;160,00;100,00;10,00;7,5 сот, оштукатур, утепл полы,шпакл потол, газ, свет, гараж в доме, кирп забор, кважина, колонка
